Month,Region,Category,Sales_USD,Cost_USD,Units_Sold,CSAT_Score,Primary_Feedback_Tag,Return_Rate_Pct
2025-08-01,North America,Electronics,202000,129070,2540,4.5,Product Quality,0.0178
2025-08-01,North America,Clothing,314000,131071,1189,4.3,Product Quality,0.011
2025-08-01,North America,Home Goods,357000,220126,1259,3.5,Packaging,0.0409
2025-08-01,North America,School Supplies,413000,230217,2816,3.9,Packaging,0.03
2025-08-01,North America,Gym Equipment,287000,146343,1874,4.5,Shipping Speed,0.0291
2025-08-01,North America,Beauty,343000,198159,8062,4.3,Customer Service,0.0325
2025-08-01,Europe,Electronics,373000,255380,1283,4.6,Product Quality,0.0108
2025-08-01,Europe,Clothing,485000,293555,3258,3.7,Sizing Issues,0.0517
2025-08-01,Europe,Home Goods,134000,90154,1341,4.4,Shipping Speed,0.0313
2025-08-01,Europe,School Supplies,153000,86294,1914,4.8,Pricing,0.0325
2025-08-01,Europe,Gym Equipment,301000,201202,1572,4.7,Customer Service,0.0198
2025-08-01,Europe,Beauty,289000,143806,2141,3.9,Customer Service,0.0393
2025-08-01,Asia,Electronics,316000,153032,1790,3.7,Packaging,0.0183
2025-08-01,Asia,Clothing,444000,309053,1861,3.8,Product Quality,0.0508
2025-08-01,Asia,Home Goods,180000,110412,739,4.3,Shipping Speed,0.0279
2025-08-01,Asia,School Supplies,140000,94428,539,4.1,Shipping Speed,0.0132
2025-08-01,Asia,Gym Equipment,161000,80106,709,4.3,Shipping Speed,0.0381
2025-08-01,Asia,Beauty,326000,142096,1464,4.5,Product Quality,0.0218
2025-08-01,Africa,Electronics,497000,272424,2904,4.1,Shipping Speed,0.032
2025-08-01,Africa,Clothing,278000,113821,1377,3.9,Pricing,0.017
2025-08-01,Africa,Home Goods,330000,172627,1410,3.8,Product Quality,0.0245
2025-08-01,Africa,School Supplies,185000,122865,931,3.9,Shipping Speed,0.0536
2025-08-01,Africa,Gym Equipment,127000,59122,891,4.6,Customer Service,0.0161
2025-08-01,Africa,Beauty,330000,221776,3189,4.3,Customer Service,0.0509
2025-08-01,Australia,Electronics,332000,163156,4458,4.2,Shipping Speed,0.0211
2025-08-01,Australia,Clothing,406000,195214,4232,3.7,Sizing Issues,0.0302
2025-08-01,Australia,Home Goods,417000,288369,1438,3.8,Shipping Speed,0.0456
2025-08-01,Australia,School Supplies,200000,97090,5005,4.3,Pricing,0.0306
2025-08-01,Australia,Gym Equipment,442000,213748,1605,3.8,Customer Service,0.0365
2025-08-01,Australia,Beauty,317000,220535,3324,4.4,Pricing,0.0285
2025-09-01,North America,Electronics,354000,226893,2255,4.8,Shipping Speed,0.0368
2025-09-01,North America,Clothing,339000,216791,4795,4.2,Sizing Issues,0.0529
2025-09-01,North America,Home Goods,351000,211747,10180,4.2,Product Quality,0.0274
2025-09-01,North America,School Supplies,298000,134788,1376,4,Pricing,0.0519
2025-09-01,North America,Gym Equipment,366000,183849,6035,4.7,Customer Service,0.0448
2025-09-01,North America,Beauty,362000,216474,1444,4.2,Customer Service,0.0221
2025-09-01,Europe,Electronics,403000,277919,2229,4.6,Packaging,0.027
2025-09-01,Europe,Clothing,198000,120801,765,4.6,Pricing,0.049
2025-09-01,Europe,Home Goods,215000,91427,2919,4.7,Shipping Speed,0.0105
2025-09-01,Europe,School Supplies,198000,137035,1856,3.9,Pricing,0.0446
2025-09-01,Europe,Gym Equipment,307000,214389,3961,3.5,Customer Service,0.0263
2025-09-01,Europe,Beauty,483000,301030,2149,3.9,Pricing,0.0284
2025-09-01,Asia,Electronics,474000,225215,2504,4.8,Packaging,0.0546
2025-09-01,Asia,Clothing,382000,202581,3067,4.3,Product Quality,0.0346
2025-09-01,Asia,Home Goods,416000,228699,2255,4.5,Packaging,0.0597
2025-09-01,Asia,School Supplies,257000,176347,927,4,Shipping Speed,0.0577
2025-09-01,Asia,Gym Equipment,448000,236747,1539,4.8,Product Quality,0.0138
2025-09-01,Asia,Beauty,352000,181466,1354,3.9,Product Quality,0.0378
2025-09-01,Africa,Electronics,322000,210350,1145,3.6,Shipping Speed,0.0408
2025-09-01,Africa,Clothing,441000,223848,4471,3.9,Pricing,0.047
2025-09-01,Africa,Home Goods,492000,300486,3872,3.9,Product Quality,0.031
2025-09-01,Africa,School Supplies,405000,267349,1464,4.2,Shipping Speed,0.0414
2025-09-01,Africa,Gym Equipment,119000,70803,542,4.5,Shipping Speed,0.0269
2025-09-01,Africa,Beauty,191000,109568,1287,4.4,Pricing,0.0333
2025-09-01,Australia,Electronics,162000,112517,631,4.6,Product Quality,0.0119
2025-09-01,Australia,Clothing,425000,208666,2428,3.9,Sizing Issues,0.0236
2025-09-01,Australia,Home Goods,207000,121481,3902,3.6,Shipping Speed,0.037
2025-09-01,Australia,School Supplies,410000,181017,6227,4.8,Pricing,0.0261
2025-09-01,Australia,Gym Equipment,244000,126793,1659,4.5,Customer Service,0.0113
2025-09-01,Australia,Beauty,216000,91640,1483,4.4,Customer Service,0.0187
2025-10-01,North America,Electronics,100000,53270,1055,3.6,Product Quality,0.043
2025-10-01,North America,Clothing,472000,279179,2784,4.4,Sizing Issues,0.0406
2025-10-01,North America,Home Goods,346000,143352,1892,3.7,Shipping Speed,0.0107
2025-10-01,North America,School Supplies,319000,132002,7781,4.6,Shipping Speed,0.0337
2025-10-01,North America,Gym Equipment,317000,199395,1278,4,Customer Service,0.0317
2025-10-01,North America,Beauty,122000,50558,426,4.7,Pricing,0.0108
2025-10-01,Europe,Electronics,246000,135531,941,4.4,Packaging,0.0572
2025-10-01,Europe,Clothing,483000,285414,1961,4.4,Product Quality,0.0422
2025-10-01,Europe,Home Goods,278000,179641,1396,4.6,Shipping Speed,0.0203
2025-10-01,Europe,School Supplies,384000,161590,6712,3.5,Packaging,0.0409
2025-10-01,Europe,Gym Equipment,314000,132305,2704,4.6,Customer Service,0.027
2025-10-01,Europe,Beauty,214000,103695,3456,4.4,Customer Service,0.0568
